worker_group,status_predetermined,year,status,n,workers,share
Nurse practitioners & midwives,TRUE,2016,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2017,Native-born citizens,1984,186194,0.9049262232936099
Nurse practitioners & midwives,TRUE,2017,Legal immigrants,200,19562,0.0950737767063901
Nurse practitioners & midwives,TRUE,2017,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2018,Native-born citizens,2055,191309,0.8830447686790032
Nurse practitioners & midwives,TRUE,2018,Legal immigrants,235,25338,0.11695523132099683
Nurse practitioners & midwives,TRUE,2018,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2019,Native-born citizens,2325,207072,0.8806777584974992
Nurse practitioners & midwives,TRUE,2019,Legal immigrants,275,28056,0.11932224150250076
Nurse practitioners & midwives,TRUE,2019,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2020,Native-born citizens,2072,243921,0.8954318186824078
Nurse practitioners & midwives,TRUE,2020,Legal immigrants,213,28485,0.10456818131759213
Nurse practitioners & midwives,TRUE,2020,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2021,Native-born citizens,2801,278560,0.883361186778757
Nurse practitioners & midwives,TRUE,2021,Legal immigrants,311,36781,0.11663881322124303
Nurse practitioners & midwives,TRUE,2021,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2022,Native-born citizens,2990,276539,0.8721069213133056
Nurse practitioners & midwives,TRUE,2022,Legal immigrants,412,40554,0.12789307868669444
Nurse practitioners & midwives,TRUE,2022,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2023,Native-born citizens,3160,297412,0.8804250973194595
Nurse practitioners & midwives,TRUE,2023,Legal immigrants,391,40393,0.11957490268054055
Nurse practitioners & midwives,TRUE,2023,Illegal immigrants,0,0,0
Nurse practitioners & midwives,TRUE,2024,Native-born citizens,3399,318044,0.8657297391465304
Nurse practitioners & midwives,TRUE,2024,Legal immigrants,450,49327,0.13427026085346966
Nurse practitioners & midwives,TRUE,2024,Illegal immigrants,0,0,0
LPNs/LVNs,TRUE,2014,Native-born citizens,9403,917515,0.8698655072441784
LPNs/LVNs,TRUE,2014,Legal immigrants,1248,137263,0.13013449275582162
LPNs/LVNs,TRUE,2014,Illegal immigrants,0,0,0
LPNs/LVNs,TRUE,2015,Native-born citizens,8876,868850,0.8677184950824125
LPNs/LVNs,TRUE,2015,Legal immigrants,1168,132454,0.13228150491758747
LPNs/LVNs,TRUE,2015,Illegal immigrants,0,0,0
LPNs/LVNs,TRUE,2016,Native-born citizens,8948,890211,0.861413932245048
LPNs/LVNs,TRUE,2016,Legal immigrants,1219,143219,0.13858606775495197
LPNs/LVNs,TRUE,2016,Illegal immigrants,0,0,0
LPNs/LVNs,TRUE,2017,Native-born citizens,8776,883150,0.8604865063945796
LPNs/LVNs,TRUE,2017,Legal immigrants,1217,143188,0.13951349360542042
