year,nh_occ_group,status,n,workers,group_total,share
2014,Nursing/psych/home health aides,Citizen,7104,750819,809122.7764375965,0.9279419908381565
2014,Nursing/psych/home health aides,Noncitizen,449,58303.77643759658,809122.7764375965,0.0720580091618435
2014,Registered nurses,Citizen,2830,272696,289457,0.9420950262042376
2014,Registered nurses,Noncitizen,143,16761,289457,0.05790497379576241
2014,LPNs/LVNs,Citizen,2692,262024,272965,0.9599179381972047
2014,LPNs/LVNs,Noncitizen,87,10941,272965,0.04008206180279523
2014,Personal care aides,Citizen,679,74314,83368.43454609619,0.891392532492741
2014,Personal care aides,Noncitizen,81,9054.434546096196,83368.43454609619,0.10860746750725905
2014,Other healthcare practitioners,Citizen,925,94961,99631.0294903385,0.9531267566517381
2014,Other healthcare practitioners,Noncitizen,40,4670.029490338487,99631.0294903385,0.04687324334826184
2014,Other healthcare support,Citizen,812,81785,84848.66430787231,0.963892604169279
2014,Other healthcare support,Noncitizen,25,3063.6643078723127,84848.66430787231,0.03610739583072098
2014,Food preparation & serving,Citizen,1464,149149,159178.71199394995,0.93699087102595
2014,Food preparation & serving,Noncitizen,69,10029.711993949944,159178.71199394995,0.06300912897404995
2014,Building cleaning & maintenance,Citizen,1366,136819,151767.2972985787,0.9015051492340261
2014,Building cleaning & maintenance,Noncitizen,107,14948.29729857868,151767.2972985787,0.09849485076597375
2014,Office & administrative support,Citizen,1059,99965,102677.420444204,0.973583087377249
2014,Office & administrative support,Noncitizen,28,2712.4204442040095,102677.420444204,0.02641691262275105
2014,Management,Citizen,1086,99745,102000.7711221185,0.9778847640336187
2014,Management,Noncitizen,20,2255.7711221185,102000.7711221185,0.022115235966381278
2014,All other occupations,Citizen,2116,192297,201324.00586242188,0.9551618008803647
2014,All other occupations,Noncitizen,74,9027.005862421891,201324.00586242188,0.04483819911963527
2015,Nursing/psych/home health aides,Citizen,6797,745845,801784.6433749235,0.9302310865677612
2015,Nursing/psych/home health aides,Noncitizen,416,55939.643374923544,801784.6433749235,0.06976891343223886
2015,Registered nurses,Citizen,2884,290346,308606,0.9408307032267681
2015,Registered nurses,Noncitizen,143,18260,308606,0.059169296773231884
2015,LPNs/LVNs,Citizen,2649,255379,269331,0.9481975710185608
2015,LPNs/LVNs,Noncitizen,104,13952,269331,0.0518024289814392
2015,Personal care aides,Citizen,708,83646,95759.14590324984,0.8735040315053735
2015,Personal care aides,Noncitizen,91,12113.145903249833,95759.14590324984,0.1264959684946265
2015,Other healthcare practitioners,Citizen,970,98766,103564.32526317799,0.9536681646794447
2015,Other healthcare practitioners,Noncitizen,50,4798.325263177989,103564.32526317799,0.04633183532055531
2015,Other healthcare support,Citizen,755,75540,78577.78412421972,0.9613404200935797
2015,Other healthcare support,Noncitizen,24,3037.784124219716,78577.78412421972,0.03865957990642029
2015,Food preparation & serving,Citizen,1396,141665,153921.24464206697,0.9203732748486538
2015,Food preparation & serving,Noncitizen,80,12256.244642066964,153921.24464206697,0.07962672515134606
2015,Building cleaning & maintenance,Citizen,1338,126057,141923.30712395455,0.8882050633861212
2015,Building cleaning & maintenance,Noncitizen,122,15866.307123954564,141923.30712395455,0.11179493661387888
2015,Office & administrative support,Citizen,1064,100713,103271.17484420947,0.9752285683970515
2015,Office & administrative support,Noncitizen,20,2558.1748442094736,103271.17484420947,0.024771431602948528
2015,Management,Citizen,1116,104601,107885.73314390972,0.9695535911172964
2015,Management,Noncitizen,28,3284.7331439097193,107885.73314390972,0.030446408882703564
2015,All other occupations,Citizen,2069,191155,197659.70063893765,0.9670914171279673
2015,All other occupations,Noncitizen,54,6504.7006389376465,197659.70063893765,0.03290858287203266
2016,Nursing/psych/home health aides,Citizen,6365,698656,745915.6541720985,0.9366420936365083
2016,Nursing/psych/home health aides,Noncitizen,355,47259.65417209852,745915.6541720985,0.06335790636349176
2016,Registered nurses,Citizen,2719,258741,272609,0.9491286054385585
2016,Registered nurses,Noncitizen,114,13868,272609,0.05087139456144148
2016,LPNs/LVNs,Citizen,2512,253812,263816,0.9620796312581497
2016,LPNs/LVNs,Noncitizen,82,10004,263816,0.03792036874185038
2016,Personal care aides,Citizen,665,74686,82490.29086262827,0.905391400842254
2016,Personal care aides,Noncitizen,68,7804.29086262827,82490.29086262827,0.09460859915774593
2016,Other healthcare practitioners,Citizen,925,91875,96565.11345895835,0.9514305602617893
2016,Other healthcare practitioners,Noncitizen,45,4690.113458958356,96565.11345895835,0.04856943973821069
2016,Other healthcare support,Citizen,769,78072,82163.58789621368,0.9502019324985901
2016,Other healthcare support,Noncitizen,28,4091.587896213678,82163.58789621368,0.04979806750140995
2016,Food preparation & serving,Citizen,1433,146352,155569.1013500568,0.9407523648972121
2016,Food preparation & serving,Noncitizen,69,9217.101350056797,155569.1013500568,0.059247635102787924
2016,Building cleaning & maintenance,Citizen,1211,123952,137240.09916916187,0.9031762637187912
2016,Building cleaning & maintenance,Noncitizen,97,13288.099169161884,137240.09916916187,0.09682373628120888
2016,Office & administrative support,Citizen,1117,107342,110499.19134138661,0.9714279235616079
2016,Office & administrative support,Noncitizen,29,3157.1913413866073,110499.19134138661,0.02857207643839205
2016,Management,Citizen,1031,96150,100011.0837305212,0.9613934417416689
2016,Management,Noncitizen,29,3861.083730521208,100011.0837305212,0.03860655825833122
2016,All other occupations,Citizen,2107,191998,201469.23626641405,0.9529891687587989
2016,All other occupations,Noncitizen,70,9471.236266414046,201469.23626641405,0.047010831241201013
2017,Nursing/psych/home health aides,Citizen,5998,662890,714603.906243712,0.9276327685982797
2017,Nursing/psych/home health aides,Noncitizen,366,51713.9062437119,714603.906243712,0.07236723140172024
2017,Registered nurses,Citizen,2662,251543,264522,0.950934137803283
2017,Registered nurses,Noncitizen,100,12979,264522,0.049065862196717096
2017,LPNs/LVNs,Citizen,2418,244569,256697,0.9527536356092982
2017,LPNs/LVNs,Noncitizen,85,12128,256697,0.04724636439070188
2017,Personal care aides,Citizen,702,79319,91070.18442908884,0.8709656239003357
2017,Personal care aides,Noncitizen,90,11751.184429088848,91070.18442908884,0.12903437609966437
2017,Other healthcare practitioners,Citizen,946,94461,101126.87810345234,0.9340840118031413
2017,Other healthcare practitioners,Noncitizen,56,6665.878103452346,101126.87810345234,0.06591598819685883
2017,Other healthcare support,Citizen,740,75797,80816.71146961153,0.9378877044322815
2017,Other healthcare support,Noncitizen,36,5019.71146961153,80816.71146961153,0.06211229556771842
2017,Food preparation & serving,Citizen,1374,139066,150391.5052824203,0.9246931848899835
2017,Food preparation & serving,Noncitizen,80,11325.50528242028,150391.5052824203,0.0753068151100164
2017,Building cleaning & maintenance,Citizen,1185,120335,135062.05304673716,0.8909608382626838
2017,Building cleaning & maintenance,Noncitizen,107,14727.05304673715,135062.05304673716,0.10903916173731618
2017,Office & administrative support,Citizen,1077,103760,107930.39136913455,0.9613603609119573
