group,coverage_type,population,rate
All immigrants,Direct purchase,5533969.393527681,0.10587959963016885
All immigrants,Employer-sponsored,21953367.95229983,0.42002650250321794
All immigrants,Medicaid,9180781.188484654,0.17565283929214032
All immigrants,Medicare,4820970.9,0.09223803610437181
All immigrants,Other public,468932.3170229279,0.00897192637857813
All immigrants,Uninsured,10308603.857918315,0.19723109609152298
Native-born,Direct purchase,25753422,0.09161471318697048
Native-born,Employer-sponsored,149828757.77,0.5329978544310976
Native-born,Medicaid,47497855.21,0.168967929079887
Native-born,Medicare,28595185.76,0.10172394728477414
Native-born,Other public,6329096.25,0.0225150016054752
Native-born,Uninsured,23101425.79,0.08218055441179556
