year,immig_status,age,total_pop,medicaid,medicaid_rate
2010,Native-born,14,3911825,1152500,0.29461951902245115
2010,Native-born,15,3944653,1112158,0.2819406421806937
2010,Native-born,16,4026073,1128526,0.2803044058068495
2010,Native-born,17,4012035,1087065,0.270951026100221
2010,Native-born,18,4342060,978009,0.225240784328176
2010,Native-born,19,4053808,543383,0.1340426088260717
2010,Native-born,20,4274234,537637,0.1257855793576112
2010,Native-born,21,4028382,465441,0.11554043285865144
2010,Native-born,22,3710035,436634,0.11768999483832362
2010,Native-born,23,3520351,442620,0.12573178072300176
2010,Native-born,24,3466302,437707,0.12627491776538802
2010,Native-born,25,3633832,459987,0.1265845531659141
2010,Native-born,26,3409461,440710,0.12926090076994576
2010,Native-born,27,3458627,448632,0.12971390092079893
2010,Native-born,28,3425693,444368,0.12971623551789374
2010,Native-born,29,3331480,428426,0.1285993012114736
2010,Native-born,30,3480341,421359,0.12106830911108998
2010,Native-born,31,3167080,388832,0.12277302752061836
2010,Native-born,32,3134021,370922,0.11835338691093646
2010,Native-born,33,3025941,357658,0.11819728144071547
2010,Native-born,34,2953166,328474,0.11122774676398144
2010,Native-born,35,3145596,353527,0.11238792267029842
2010,Native-born,36,2941966,328339,0.11160530067308731
2010,Native-born,37,3013211,324279,0.10761908143837255
2010,Native-born,38,3203149,330538,0.10319157803773724
2010,Native-born,39,3455335,350761,0.10151287791198249
2010,Native-born,40,3640050,358382,0.09845524099943682
2010,Native-born,41,3267332,314276,0.09618734796463904
2010,Native-born,42,3260882,322377,0.09886190300660987
2010,Native-born,43,3306049,312115,0.094407251677153
2010,Native-born,44,3378283,321942,0.09529752243965352
2010,Native-born,45,3718753,331545,0.08915488605992385
2010,Native-born,46,3643256,322349,0.08847827328082353
2010,Native-born,47,3769524,351099,0.09314146825965294
2010,Native-born,48,3784889,359426,0.0949634190064755
2010,Native-born,49,3849561,350273,0.09099037526616671
2010,Native-born,50,4038711,348377,0.08625945258276713
2010,Native-born,51,3740627,338363,0.09045622565414836
2010,Native-born,52,3794642,343338,0.09047968161423396
2010,Native-born,53,3736268,323570,0.08660245999483977
2010,Native-born,54,3644486,319205,0.0875857391138284
2010,Native-born,55,3644213,309675,0.0849771953505462
2010,Native-born,56,3478548,317098,0.09115814989472619
2010,Native-born,57,3403986,299884,0.08809789464469008
2010,Native-born,58,3280994,287653,0.08767251631670159
2010,Native-born,59,3175362,289507,0.09117291193885925
2010,Native-born,60,3251441,299335,0.09206225793425131
2010,Native-born,61,3022839,276487,0.09146600265511991
2010,Native-born,62,3058788,263748,0.08622630924405353
2010,Native-born,63,3135914,260683,0.08312823629729642
2010,Native-born,64,2432573,216230,0.08888941873481289
2010,Native-born,65,2349519,266972,0.11362836393321356
2010,Native-born,66,2283135,260141,0.11394026196436041
2010,Native-born,67,2333391,255347,0.10943172404453433
2010,Native-born,68,2079251,241649,0.11621925395250501
2010,Native-born,69,1878100,222551,0.11849795005590756
2010,Native-born,70,1835318,226841,0.12359765446641945
2010,Native-born,71,1669732,209498,0.12546803918233584
2010,Native-born,72,1629182,215347,0.13218105773326738
2010,Native-born,73,1535378,193436,0.12598591356656147
2010,Native-born,74,1434871,186873,0.13023679480594422
2010,Native-born,75,1424718,191568,0.13446029319486383
2010,Native-born,76,1307477,175062,0.13389298626285587
2010,Native-born,77,1243409,172044,0.13836476975797987
2010,Native-born,78,1219832,169992,0.13935689504784265
2010,Native-born,79,1178663,170645,0.1447784481230004
2010,Native-born,80,1177833,178144,0.15124724812430965
2010,Native-born,81,1065780,165032,0.154846215916981
2010,Native-born,82,1018818,158002,0.15508363613520768
2010,Native-born,83,960728,158945,0.1654422479619622
2010,Native-born,84,876158,147497,0.16834520714300388
2010,Native-born,85,833858,148579,0.17818261622482484
2010,Native-born,86,735428,127712,0.17365670058795696
2010,Native-born,87,635942,119414,0.18777498576914248
