year,immig_status,age,total_pop,medicaid,medicaid_rate
2010,Native-born,3,4071149.47,1591430.02,0.3909043457448886
2010,Native-born,4,3994035.83,1515323.68,0.37939661647952716
2010,Native-born,5,3888371.61,1448791.3,0.37259589496899964
2010,Native-born,6,3961859.63,1345025.45,0.33949346408317854
2010,Native-born,7,3978972.3,1426512.3,0.35851274963638224
2010,Native-born,8,3908633.8,1306219.54,0.3341882629168279
2010,Native-born,9,3983098.56,1364832.09,0.3426558668937381
2010,Native-born,10,3980568.8,1286128.3,0.32310163813774556
2010,Native-born,11,3926351.3,1293864.14,0.3295334627851563
2010,Native-born,12,3841291.81,1173847.22,0.30558657817771984
2010,Native-born,13,3919336.7,1191008.38,0.303880087668916
2010,Native-born,14,3894216.52,1110688.07,0.2852147702357341
2010,Native-born,15,3919031.18,1098024.75,0.28017759991386443
2010,Native-born,16,4149568.18,1118196.29,0.26947292862651556
2010,Native-born,17,4409398.23,1079398.44,0.244794954707459
2010,Native-born,18,4089570.61,958122.35,0.23428433969501752
2010,Native-born,19,3683238.57,623127.57,0.16917925845894907
2010,Native-born,20,3964515.74,587146.05,0.14810032006582474
2010,Native-born,21,3748342.44,504188.09,0.13450961273431572
2010,Native-born,22,3640797.11,513462.72000000003,0.14103030311403428
2010,Native-born,23,3516505,386235.52,0.10983505497646101
2010,Native-born,24,3580325.37,443085.9,0.12375576357184542
2010,Native-born,25,3564386.01,368546.91,0.10339702517236622
2010,Native-born,26,3287666.14,373429.8,0.1135850734527442
2010,Native-born,27,3449992.45,426032.47000000003,0.1234879427054978
2010,Native-born,28,3343327.78,315489.49,0.0943639124728596
2010,Native-born,29,3493475.04,342542.58,0.0980521045886734
2010,Native-born,30,3260799.35,302881.22000000003,0.0928855742074409
2010,Native-born,31,3114376.69,359298.08,0.11536757295727128
2010,Native-born,32,2978894.02,279612.09,0.09386439669310559
2010,Native-born,33,2950724.78,288322.77,0.0977125253952014
2010,Native-born,34,2986786.11,244035.48,0.08170504047241603
2010,Native-born,35,3061258.09,305744.27,0.09987536529466551
2010,Native-born,36,2866713.92,255592.43,0.08915868033319488
2010,Native-born,37,2910903.56,234611.24,0.08059739361478536
2010,Native-born,38,3228005.29,275602.91,0.08537870456835589
2010,Native-born,39,3337198.62,287546.33,0.08616398444992765
2010,Native-born,40,3507664.08,287470.6,0.08195499724135498
2010,Native-born,41,3308463.43,243737.53,0.07367091556457071
2010,Native-born,42,3065018.17,269312.45,0.08786651010294011
2010,Native-born,43,3191952.76,267054.13,0.0836648127586951
2010,Native-born,44,3359107.72,316145.44,0.09411589813499639
2010,Native-born,45,3709964.58,270782.33,0.07298784777077306
2010,Native-born,46,3729031.28,271112.84,0.07270328931110495
2010,Native-born,47,3708785.51,301373.96,0.08125947407511308
2010,Native-born,48,3772967.37,284187.44,0.07532199781521036
2010,Native-born,49,3760533.36,291007.38,0.07738460269901715
2010,Native-born,50,3834460.45,291155.63,0.07593131649069428
2010,Native-born,51,3793122.79,341085.16,0.08992199274413681
2010,Native-born,52,3741143.24,275263.7,0.07357742870064499
2010,Native-born,53,3767383.42,276870.37,0.07349142339220678
2010,Native-born,54,3937381.96,284039.56,0.07213919372963247
2010,Native-born,55,3564900.91,243964.38,0.06843510834078134
2010,Native-born,56,3422475.22,220938.25,0.06455510582192031
2010,Native-born,57,3365524.98,289975.4,0.08616052524441523
2010,Native-born,58,3300313.75,274527.14,0.08318213381985273
2010,Native-born,59,3154720.86,280483.49,0.08890913093337836
2010,Native-born,60,3120233.83,246645.09,0.07904698924439262
2010,Native-born,61,3213590.6,249635.38999999998,0.07768114270685257
2010,Native-born,62,3044944.28,234848.21,0.0771272602728875
2010,Native-born,63,2911919.82,230345.57,0.07910436558654971
2010,Native-born,64,2314804.56,200158.2,0.08646872546337131
2010,Native-born,65,2500575.65,204880.34,0.08193327004523938
2010,Native-born,66,2207778.71,203276.96,0.09207306831942409
2010,Native-born,67,2134835.41,146503.67,0.06862527636264006
2010,Native-born,68,1944800.69,159608.16,0.08206916051639204
2010,Native-born,69,1990911.29,137616.07,0.06912215059064736
2010,Native-born,70,1749700.54,126806.16,0.07247306444793118
2010,Native-born,71,1579107.59,86467.36,0.05475710492912012
2010,Native-born,72,1539355.36,158152.85,0.10273966239998021
2010,Native-born,73,1545404.73,119487.24,0.07731776516563399
2010,Native-born,74,1437975.89,125113.27,0.0870065144138126
2010,Native-born,75,1347785.04,130987.24,0.09718704104328091
2010,Native-born,76,1300258.03,107343.85,0.08255580625024096
2010,Native-born,77,1477357.3,87041.23,0.058916844286754456
2010,Native-born,78,1326209.63,75879.24,0.05721511764320397
2010,Native-born,79,1066639.08,91731.6,0.08600059919049656
2010,Native-born,80,5089890.54,388088.61,0.07624694616713702
2010,Native-born,85,4146581.59,333458.58,0.08041770619060701
2010,Naturalized citizen,0,8152.8499999999995,3911.83,0.4798113543116824
2010,Naturalized citizen,1,8388.49,923.36,0.11007463798609762
2010,Naturalized citizen,2,10543.460000000001,2339.86,0.22192525034476349
2010,Naturalized citizen,3,11595.23,3511.92,0.30287626894852454
2010,Naturalized citizen,4,10944.68,1413.93,0.12918879309399636
2010,Naturalized citizen,5,18274.81,7335.01,0.4013727092101094
2010,Naturalized citizen,6,32289.14,10770.48,0.33356354489466117
2010,Naturalized citizen,7,18883.53,3555.4100000000003,0.1882810046638526
2010,Naturalized citizen,8,30184.93,4113.83,0.1362875448112684
2010,Naturalized citizen,9,18343.2,4926.27,0.2685611016616512
2010,Naturalized citizen,10,19329.67,7483.54,0.38715301399351365
2010,Naturalized citizen,11,34734.11,9181.31,0.26433122944563714
2010,Naturalized citizen,12,43675.4,5539.13,0.12682494035544037
2010,Naturalized citizen,13,52063.36,16188.84,0.310944971665294
2010,Naturalized citizen,14,54096.68,14602.65,0.26993615874393767
2010,Naturalized citizen,15,48467.65,8036.93,0.16582050089080036
