year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2010,1,858,122160,858,129867.21621710667,7707.216217106674,6.309116091279203
2010,2,180,22782,180,23781.94381959158,999.9438195915791,4.389183651969007
2010,4,4628,552999,4628,573469.4539858887,20470.453985888744,3.7017162754161843
2010,5,632,94875,632,100148.79019703154,5273.790197031543,5.558672144433775
2010,6,47607,5498437,47607,5689407.207877063,190970.2078770632,3.4731726102720315
2010,8,2390,310770,2390,324260.38741282717,13490.387412827171,4.340955501762451
2010,9,2034,247047,2034,258717.81222971747,11670.81222971747,4.724126271404822
2010,10,292,36441,292,38106.03430571257,1665.034305712572,4.56912353039865
2010,11,435,49177,435,51141.50466302607,1964.5046630260695,3.99476312712461
2010,12,15682,1891430,15682,1961149.6943353743,69719.69433537428,3.6860837744655783
2010,13,4743,613377,4743,645959.5568411666,32582.556841166574,5.311995207053178
2010,15,910,104985,910,108915.69719712982,3930.697197129819,3.7440560052672467
2010,16,519,59650,519,62017.87047853039,2367.8704785303926,3.9696068374356956
2010,17,6874,997844,6874,1043004.3406822388,45160.340682238806,4.525791675075343
2010,18,1506,193310,1506,203194.70544162582,9884.705441625818,5.11339581068016
2010,19,575,86665,575,90988.57111093446,4323.571110934456,4.988831836305839
2010,20,808,125410,808,131891.5871667128,6481.587166712794,5.168317651473402
2010,21,730,93776,730,99085.39032265173,5309.390322651729,5.661779477320134
2010,22,876,104305,876,110420.23757345641,6115.237573456412,5.862842216055234
2010,23,176,20004,176,20418.106396847794,414.1063968477938,2.0701179606468396
2010,24,3626,443747,3626,468017.2757911616,24270.275791161577,5.469394900959686
2010,25,4092,507923,4092,527261.205923244,19338.205923244008,3.8073105418033855
2010,26,2299,299784,2299,313475.3666004603,13691.366600460315,4.567077162377017
2010,27,1169,218369,1169,227620.69381620912,9251.693816209125,4.23672490885113
2010,28,331,43104,331,45706.020502279396,2602.020502279396,6.036610296676401
2010,29,985,135099,985,142362.08791566457,7263.087915664568,5.376122632783787
2010,30,78,7976,78,8279.26330461249,303.2633046124902,3.8021979013602074
2010,31,389,67002,389,69902.59233640398,2900.5923364039772,4.329113065884567
2010,32,2489,294702,2489,306253.6386555962,11551.63865559618,3.919769345167722
2010,33,277,33535,277,34910.700025145845,1375.7000251458448,4.102281273731459
2010,34,7297,924084,7297,967020.2815131805,42936.28151318047,4.6463613170643
2010,35,981,137266,981,142662.85566207074,5396.855662070739,3.931676935345051
2010,36,15370,2075973,15370,2151722.8189881365,75749.81898813648,3.64888266794108
2010,37,3818,505673,3818,532164.5185215711,26491.518521571066,5.2388635583808245
2010,38,55,9224,55,9782.86474650849,558.8647465084905,6.05881121539994
2010,39,1993,237983,1993,251164.42534239072,13181.425342390721,5.538809638667771
2010,40,1055,145677,1055,153579.5894027085,7902.589402708487,5.424733762164574
2010,41,1758,232769,1758,242526.42306628972,9757.423066289717,4.191891130816267
2010,42,2570,368716,2570,386267.3670238838,17551.367023883795,4.760131652514075
2010,44,516,66778,516,69485.41569967763,2707.415699677629,4.05435278037322
2010,45,1186,149333,1186,158409.7420984779,9076.742098477902,6.078189079759934
2010,46,86,11602,86,12063.191095980606,461.1910959806064,3.975099948117621
2010,47,1461,191991,1461,202490.54688061308,10499.546880613081,5.46877034892942
2010,48,22403,2807678,22403,2926077.645785958,118399.64578595804,4.216995174872547
2010,49,1223,156444,1223,163504.74170877293,7060.741708772926,4.513271016320809
2010,50,105,10689,105,11077.401061693163,388.4010616931628,3.633651994509896
2010,51,3778,490817,3778,516596.0778091744,25779.07780917443,5.252278916413741
2010,53,3914,482184,3914,504486.62162300537,22302.62162300537,4.6253342340279575
2010,54,110,12796,110,13563.17473348443,767.1747334844295,5.995426176027113
2010,55,940,150695,940,157417.45428232156,6722.45428232156,4.460967040924755
2010,56,77,9829,77,10301.830031127944,472.8300311279436,4.810560902715878
2011,1,705,106332,705,112117.34412473779,5785.344124737792,5.4408307233361475
2011,2,185,20444,185,21044.50882157934,600.5088215793403,2.9373352650134037
2011,4,4610,537805,4610,556154.558246496,18349.558246496017,3.4119352268007956
2011,5,527,86858,527,91037.15123244839,4179.151232448392,4.81147531885191
2011,6,48407,5435264,48407,5615786.682646004,180522.68264600355,3.3213231711652558
2011,8,2422,317004,2422,330235.02722037816,13231.027220378164,4.173772955665595
2011,9,1989,240811,1989,252155.47241577192,11344.472415771917,4.710944440150955
2011,10,355,42639,355,44850.05350193699,2211.0535019369927,5.185519130225832
2011,11,448,53175,448,55765.3521536261,2590.3521536261032,4.871372174191073
2011,12,15008,1861425,15008,1925132.1272801713,63707.12728017126,3.4224922991885927
2011,13,3947,573463,3947,601361.426681846,27898.42668184603,4.864904393456253
2011,15,1012,112035,1012,116598.2092816328,4563.209281632793,4.07302118233837
2011,16,508,66441,508,68886.31833654447,2445.318336544471,3.6804357799317753
2011,17,6402,963826,6402,1004765.774300133,40939.774300132995,4.247631242582478
2011,18,1437,194561,1437,203943.66406234732,9382.664062347321,4.822479357295306
2011,19,554,83006,554,87768.40107724443,4762.401077244431,5.737417870087018
2011,20,906,124302,906,130553.51940986578,6251.519409865781,5.0292991342583235
2011,21,674,92067,674,96563.11074445106,4496.110744451056,4.883520419315342
2011,22,777,103842,777,109808.21590121329,5966.215901213291,5.745474760899531
2011,23,157,18630,157,19056.401119080874,426.4011190808742,2.2887875420336776
2011,24,3554,433942,3554,455908.9571438075,21966.957143807493,5.062187376148769
2011,25,4122,480642,4122,497213.461116635,16571.461116635008,3.447776331788526
2011,26,2286,298340,2286,310899.62854611914,12559.628546119144,4.209837281664927
2011,27,1172,215787,1172,224664.28734803444,8877.287348034442,4.113912028080673
2011,28,410,46700,410,49163.784385715415,2463.784385715415,5.275769562559775
2011,29,1232,151159,1232,159423.01298483062,8264.012984830624,5.467099534153193
2011,30,106,11424,106,12004.768253667089,580.7682536670891,5.08375572187578
2011,31,394,68453,394,71652.51087047375,3199.5108704737504,4.674025784806729
2011,32,2569,307229,2569,318578.66263570124,11349.662635701243,3.6942029026235295
2011,33,287,33709,287,35217.78218324088,1508.7821832408808,4.475903121542855
2011,34,7199,914574,7199,957078.6270056312,42504.62700563122,4.64747817078019
2011,35,1076,139891,1076,145300.86822488037,5409.868224880367,3.867202482561685
2011,36,15786,2051822,15786,2125070.2113977214,73248.21139772143,3.569910615917045
2011,37,3585,474119,3585,498002.02914939745,23883.02914939745,5.03734909366582
2011,38,86,11776,86,12342.59432474165,566.5943247416508,4.811432784830594
2011,39,1859,231381,1859,243996.30710353944,12615.307103539439,5.452179350741607
2011,40,948,136312,948,143522.35084443665,7210.350844436645,5.28959361203463
2011,41,1793,229274,1793,238371.67512598317,9097.675125983165,3.9680361166042224
2011,42,2597,365248,2597,382286.78906800336,17038.78906800336,4.664991750263755
2011,44,559,68743,559,71442.77005416085,2699.77005416085,3.927338135025894
2011,45,1104,149050,1104,156598.9788788069,7548.978878806898,5.064729204164306
2011,46,119,15355,119,16197.467129845405,842.467129845405,5.4865980452322045
2011,47,1388,197364,1388,207207.50446381985,9843.504463819845,4.987487314717905
2011,48,22106,2827048,22106,2940629.8676714436,113581.86767144362,4.017684442267822
2011,49,1050,154561,1050,161630.98194686015,7069.981946860149,4.574234086774897
2011,50,95,9790,95,10059.065850093719,269.06585009371884,2.7483743625507544
2011,51,3496,482765,3496,507906.42076724477,25141.420767244766,5.207796913041494
2011,53,3921,503854,3921,526453.0326655409,22599.03266554093,4.485234346763335
2011,54,141,12825,141,13614.980268583322,789.980268583322,6.159690203378728
2011,55,922,152152,922,158756.82158901717,6604.8215890171705,4.340936424770736
2011,56,105,11477,105,12120.70870918353,643.7087091835292,5.608684405188892
2012,1,727,105879,727,110783.39517938066,4904.395179380663,4.63207546291584
2012,2,154,23144,154,24417.639872903044,1273.6398729030443,5.503110408326323
2012,4,4723,539102,4723,557202.0833212705,18100.083321270533,3.3574505977107365
2012,5,562,85596,562,89427.71265598983,3831.7126559898315,4.476509014428047
2012,6,47553,5386802,47553,5556448.225928611,169646.22592861112,3.1492938839892597
2012,8,2258,309770,2258,320915.5379102875,11145.537910287501,3.5980042968290995
2012,9,2136,257427,2136,269523.87198530184,12096.871985301841,4.6991465484591135
2012,10,304,40822,304,42672.05645472463,1850.0564547246322,4.532008364912627
2012,11,459,54949,459,57398.00738363722,2449.0073836372176,4.4568734347071235
2012,12,14720,1841271,14720,1902910.4352834106,61639.435283410596,3.347656878504609
