worker_group,status_predetermined,year,status,n,workers,share
LPNs/LVNs,TRUE,2022,Citizen,6983,721620,0.9657177040216156
LPNs/LVNs,TRUE,2022,Noncitizen,190,25617,0.03428229597838437
LPNs/LVNs,TRUE,2023,Citizen,6610,642574,0.9616376936522759
LPNs/LVNs,TRUE,2023,Noncitizen,216,25634,0.038362306347724064
LPNs/LVNs,TRUE,2024,Citizen,6779,693961,0.9618789017885855
LPNs/LVNs,TRUE,2024,Noncitizen,206,27503,0.038121098211414566
Nursing/psych/home health aides,FALSE,2014,Citizen,21900,2398071,0.911173455204273
Nursing/psych/home health aides,FALSE,2014,Noncitizen,1764,233778.05827001363,0.08882654479572714
Nursing/psych/home health aides,FALSE,2015,Citizen,21169,2359038,0.9080615313509603
Nursing/psych/home health aides,FALSE,2015,Noncitizen,1717,238845.4237040769,0.09193846864903958
Nursing/psych/home health aides,FALSE,2016,Citizen,20812,2325870,0.9110328456244157
Nursing/psych/home health aides,FALSE,2016,Noncitizen,1651,227133.45225847958,0.0889671543755842
Nursing/psych/home health aides,FALSE,2017,Citizen,20297,2278283,0.9075943562550274
Nursing/psych/home health aides,FALSE,2017,Noncitizen,1644,231960.6835336809,0.09240564374497252
Nursing/psych/home health aides,FALSE,2018,Citizen,19795,2228880,0.901506284782409
Nursing/psych/home health aides,FALSE,2018,Noncitizen,1723,243515.40935421336,0.09849371521759107
Nursing/psych/home health aides,FALSE,2019,Citizen,20016,2307583,0.9051354153174359
Nursing/psych/home health aides,FALSE,2019,Noncitizen,1686,241850.99733256258,0.09486458468256402
Nursing/psych/home health aides,FALSE,2020,Citizen,16394,2257315,0.904863121794994
Nursing/psych/home health aides,FALSE,2020,Noncitizen,1462,237333.02535230058,0.09513687820500602
Nursing/psych/home health aides,FALSE,2021,Citizen,19804,2262506,0.9041152940529623
Nursing/psych/home health aides,FALSE,2021,Noncitizen,1765,239946.96687511212,0.09588470594703767
Nursing/psych/home health aides,FALSE,2022,Citizen,19714,2213611,0.9058099763290165
Nursing/psych/home health aides,FALSE,2022,Noncitizen,1760,230180.80826768937,0.09419002367098356
Nursing/psych/home health aides,FALSE,2023,Citizen,19166,2125550,0.8980647664750986
Nursing/psych/home health aides,FALSE,2023,Noncitizen,1748,241261.48102800798,0.10193523352490151
Nursing/psych/home health aides,FALSE,2024,Citizen,20507,2299114,0.9004686907333511
Nursing/psych/home health aides,FALSE,2024,Noncitizen,1802,254127.46598320632,0.09953130926664881
Nursing home employees (all occupations),FALSE,2014,Citizen,22133,2214574,0.9398359130555851
Nursing home employees (all occupations),FALSE,2014,Noncitizen,1123,141767.1115031766,0.060164086944415
Nursing home employees (all occupations),FALSE,2015,Citizen,21746,2213713,0.9371070305923099
Nursing home employees (all occupations),FALSE,2015,Noncitizen,1132,148571.05905864944,0.06289296940769001
Nursing home employees (all occupations),FALSE,2016,Citizen,20854,2121636,0.9436420260309616
Nursing home employees (all occupations),FALSE,2016,Noncitizen,986,126712.35824743936,0.056357973969038376
Nursing home employees (all occupations),FALSE,2017,Citizen,20237,2061518,0.9352850558768874
Nursing home employees (all occupations),FALSE,2017,Noncitizen,1037,142642.0975514358,0.06471494412311271
Nursing home employees (all occupations),FALSE,2018,Citizen,20215,2062108,0.9383744358666615
Nursing home employees (all occupations),FALSE,2018,Noncitizen,1005,135424.15899949762,0.061625564133338626
Nursing home employees (all occupations),FALSE,2019,Citizen,19223,1966873,0.9401670577747753
Nursing home employees (all occupations),FALSE,2019,Noncitizen,935,125173.2844712652,0.05983294222522469
Nursing home employees (all occupations),FALSE,2020,Citizen,15753,1927097,0.9427930090127585
Nursing home employees (all occupations),FALSE,2020,Noncitizen,710,116932.7940031938,0.0572069909872415
Nursing home employees (all occupations),FALSE,2021,Citizen,17669,1814239,0.9456029730986641
Nursing home employees (all occupations),FALSE,2021,Noncitizen,850,104366.43125714376,0.054397026901335764
Nursing home employees (all occupations),FALSE,2022,Citizen,17216,1699359,0.9436905736838549
Nursing home employees (all occupations),FALSE,2022,Noncitizen,802,101399.68869418334,0.05630942631614518
Nursing home employees (all occupations),FALSE,2023,Citizen,17048,1690931,0.9446604216133001
Nursing home employees (all occupations),FALSE,2023,Noncitizen,763,99057.19185439339,0.05533957838669988
Nursing home employees (all occupations),FALSE,2024,Citizen,17361,1747139,0.9423305510464414
Nursing home employees (all occupations),FALSE,2024,Noncitizen,827,106922.717578649,0.05766944895355856
"Residential care, no nursing (all occupations)",FALSE,2014,Citizen,12027,1246171,0.9410076641677623
"Residential care, no nursing (all occupations)",FALSE,2014,Noncitizen,673,78123.20870033781,0.058992335832237695
"Residential care, no nursing (all occupations)",FALSE,2015,Citizen,11371,1181351,0.9329636682175401
"Residential care, no nursing (all occupations)",FALSE,2015,Noncitizen,675,84883.73158071916,0.06703633178245992
"Residential care, no nursing (all occupations)",FALSE,2016,Citizen,11809,1238259,0.9362230794840608
"Residential care, no nursing (all occupations)",FALSE,2016,Noncitizen,671,84352.06047758073,0.06377692051593921
"Residential care, no nursing (all occupations)",FALSE,2017,Citizen,11850,1236528,0.941174878118558
"Residential care, no nursing (all occupations)",FALSE,2017,Noncitizen,617,77285.22297070143,0.05882512188144184
"Residential care, no nursing (all occupations)",FALSE,2018,Citizen,11755,1252969,0.9356883018792936
"Residential care, no nursing (all occupations)",FALSE,2018,Noncitizen,636,86119.02480853975,0.06431169812070635
"Residential care, no nursing (all occupations)",FALSE,2019,Citizen,12090,1300120,0.9356335203753051
"Residential care, no nursing (all occupations)",FALSE,2019,Noncitizen,658,89441.16009876446,0.06436647962469484
"Residential care, no nursing (all occupations)",FALSE,2020,Citizen,9949,1223640,0.9323915991760507
"Residential care, no nursing (all occupations)",FALSE,2020,Noncitizen,588,88727.03664138948,0.06760840082394919
"Residential care, no nursing (all occupations)",FALSE,2021,Citizen,11495,1205327,0.9299498301905018
"Residential care, no nursing (all occupations)",FALSE,2021,Noncitizen,705,90793.45818975703,0.07005016980949814
"Residential care, no nursing (all occupations)",FALSE,2022,Citizen,11248,1167800,0.9365255211982464
"Residential care, no nursing (all occupations)",FALSE,2022,Noncitizen,658,79149.46754451205,0.06347447880175358
"Residential care, no nursing (all occupations)",FALSE,2023,Citizen,10657,1095228,0.9289054832691241
"Residential care, no nursing (all occupations)",FALSE,2023,Noncitizen,640,83824.14225405606,0.07109451673087591
"Residential care, no nursing (all occupations)",FALSE,2024,Citizen,10974,1145990,0.9375715609438148
"Residential care, no nursing (all occupations)",FALSE,2024,Noncitizen,594,76306.03343170829,0.062428439056185184
