year,immig_status,coverage_type,n,population
2016,Naturalized citizen,Other public,158,266126.33
2016,Naturalized citizen,Uninsured,2119,3927353.08
2016,Undocumented,Employer-sponsored,2849,5347986.392689426
2016,Undocumented,Medicaid,25,42984.72863428388
2016,Undocumented,Other public,41,59353.424482447816
2016,Undocumented,Uninsured,3483,6488341.842587852
2017,Legal immigrant,Employer-sponsored,2381,4052832.99
2017,Legal immigrant,Medicaid,2396,4060859.6
2017,Legal immigrant,Medicare,552,946588.15
2017,Legal immigrant,Other public,66,101171.29
2017,Legal immigrant,Uninsured,1585,2840674.96
2017,Native-born,Employer-sponsored,88375,149899312.01
2017,Native-born,Medicaid,27541,43880405.91
2017,Native-born,Medicare,15917,31962847.76
2017,Native-born,Other public,4310,6336267.2
2017,Native-born,Uninsured,24701,44439200.02
2017,Naturalized citizen,Employer-sponsored,6110,10701114.77
2017,Naturalized citizen,Medicaid,1581,2835121.74
2017,Naturalized citizen,Medicare,1512,2866377.61
2017,Naturalized citizen,Other public,144,229153.23
2017,Naturalized citizen,Uninsured,2064,3777399.25
2017,Undocumented,Employer-sponsored,3033,5528358.065113494
2017,Undocumented,Medicaid,54,99470.15386138942
2017,Undocumented,Other public,23,45941.07241070719
2017,Undocumented,Uninsured,3569,6509078.253587845
2018,Legal immigrant,Employer-sponsored,2466,4323362.33
2018,Legal immigrant,Medicaid,2178,3874313.56
2018,Legal immigrant,Medicare,614,1081085.85
2018,Legal immigrant,Other public,69,108334.27
2018,Legal immigrant,Uninsured,1377,2537859.45
2018,Native-born,Employer-sponsored,85397,151210030.33
2018,Native-born,Medicaid,25567,43068442.14
2018,Native-born,Medicare,16506,33587132.72
2018,Native-born,Other public,4346,6470641.6
2018,Native-born,Uninsured,23539,43411529.14
2018,Naturalized citizen,Employer-sponsored,6151,11426845.22
2018,Naturalized citizen,Medicaid,1641,3066740.15
2018,Naturalized citizen,Medicare,1649,3119981.02
2018,Naturalized citizen,Other public,170,264339.92
2018,Naturalized citizen,Uninsured,2082,3976095.92
2018,Undocumented,Employer-sponsored,3099,6064139.473785449
2018,Undocumented,Medicaid,39,78103.2702220829
2018,Undocumented,Other public,32,55863.090804999585
2018,Undocumented,Uninsured,3162,6167065.5032803435
2019,Legal immigrant,Direct purchase,579,1089736.69
2019,Legal immigrant,Employer-sponsored,2064,3640241.24
2019,Legal immigrant,Medicaid,2429,4334777.89
2019,Legal immigrant,Medicare,557,987292.85
2019,Legal immigrant,Other public,64,106759.43
2019,Legal immigrant,Uninsured,1116,2074487.55
2019,Native-born,Direct purchase,14133,27249407.19
2019,Native-born,Employer-sponsored,85147,151085091.72
2019,Native-born,Medicaid,26782,44906876.7
2019,Native-born,Medicare,11618,23202867.09
2019,Native-born,Other public,4259,6757851.99
2019,Native-born,Uninsured,13406,25333591.46
2019,Naturalized citizen,Direct purchase,1278,2519657.23
2019,Naturalized citizen,Employer-sponsored,5960,11169187.9
2019,Naturalized citizen,Medicaid,1747,3270910.06
2019,Naturalized citizen,Medicare,1494,2926686.86
2019,Naturalized citizen,Other public,167,284939.19
2019,Naturalized citizen,Uninsured,1126,2125050.75
2019,Undocumented,Direct purchase,699,1476392.1525287929
2019,Undocumented,Employer-sponsored,2731,5348887.240138887
2019,Undocumented,Medicaid,54,120343.08756351686
2019,Undocumented,Other public,17,28601.074058351638
2019,Undocumented,Uninsured,2674,5044639.252845298
2020,Legal immigrant,Direct purchase,439,911852.3765
2020,Legal immigrant,Employer-sponsored,1761,3650243.0948
2020,Legal immigrant,Medicaid,1773,3816882.1247
2020,Legal immigrant,Medicare,459,894166.5998
2020,Legal immigrant,Other public,47,87966.7763
2020,Legal immigrant,Uninsured,842,1911837.9847
2020,Native-born,Direct purchase,12265,25957249.8605
2020,Native-born,Employer-sponsored,76702,156789948.8592
2020,Native-born,Medicaid,22131,44203545.8501
2020,Native-born,Medicare,11091,23938044.1717
2020,Native-born,Other public,3851,6649737.5215
2020,Native-born,Uninsured,11049,24843205.8854
2020,Naturalized citizen,Direct purchase,1068,2434464.8467
2020,Naturalized citizen,Employer-sponsored,5409,11639311.2502
2020,Naturalized citizen,Medicaid,1469,3120397.8320999998
2020,Naturalized citizen,Medicare,1497,3164352.5857
2020,Naturalized citizen,Other public,157,298535.3649
2020,Naturalized citizen,Uninsured,947,2202743.0165
2020,Undocumented,Direct purchase,520,1285100.4695968188
2020,Undocumented,Employer-sponsored,2469,5864385.890443064
2020,Undocumented,Medicaid,55,134600.4663340592
2020,Undocumented,Other public,8,13788.098457418537
2020,Undocumented,Uninsured,1950,4499688.091814071
2021,Legal immigrant,Direct purchase,488,961818.9392
2021,Legal immigrant,Employer-sponsored,1750,3496617.0583
2021,Legal immigrant,Medicaid,1853,3811558.1974
2021,Legal immigrant,Medicare,483,968143.0215
2021,Legal immigrant,Other public,51,95901.5042
2021,Legal immigrant,Uninsured,1006,2057209.6462
2021,Native-born,Direct purchase,12719,26434026.0055
2021,Native-born,Employer-sponsored,76375,151683161.8686
2021,Native-born,Medicaid,24425,46377806.0729
2021,Native-born,Medicare,11779,24939951.0685
2021,Native-born,Other public,4301,7393156.1914
2021,Native-born,Uninsured,12267,26057196.8475
2021,Naturalized citizen,Direct purchase,1203,2629386.7697
2021,Naturalized citizen,Employer-sponsored,5448,11450548.3417
2021,Naturalized citizen,Medicaid,1429,3109958.0994
2021,Naturalized citizen,Medicare,1543,3253446.922
2021,Naturalized citizen,Other public,173,332070.87
2021,Naturalized citizen,Uninsured,974,2028076.0034
2021,Undocumented,Direct purchase,502,1219588.4845480495
2021,Undocumented,Employer-sponsored,2241,5071470.01849729
2021,Undocumented,Medicaid,49,126444.91408466546
2021,Undocumented,Other public,21,49714.11313724314
2021,Undocumented,Uninsured,2463,5185554.978630301
2022,Legal immigrant,Direct purchase,394,856872
2022,Legal immigrant,Employer-sponsored,1593,3404051.92
2022,Legal immigrant,Medicaid,1817,3968354.72
2022,Legal immigrant,Medicare,494,1071190.52
2022,Legal immigrant,Other public,43,85402.95
2022,Legal immigrant,Uninsured,949,2198149.96
2022,Native-born,Direct purchase,11609,26175533.55
2022,Native-born,Employer-sponsored,71057,151219490.94
2022,Native-born,Medicaid,23393,48118855.03
2022,Native-born,Medicare,11432,25709314.08
2022,Native-born,Other public,3470,6268128.9
2022,Native-born,Uninsured,10700,24374775.02
2022,Naturalized citizen,Direct purchase,1020,2363468.9
2022,Naturalized citizen,Employer-sponsored,5118,11451808.71
2022,Naturalized citizen,Medicaid,1636,3699232.87
2022,Naturalized citizen,Medicare,1456,3183827.46
2022,Naturalized citizen,Other public,139,262928.95
2022,Naturalized citizen,Uninsured,865,1915873.52
2022,Undocumented,Direct purchase,678,1753859.5709534832
2022,Undocumented,Employer-sponsored,2328,5485964.679731882
2022,Undocumented,Medicaid,133,336141.0057761676
2022,Undocumented,Other public,11,32090.443135870642
2022,Undocumented,Uninsured,2397,5565349.073394791
2023,Legal immigrant,Direct purchase,349,862251.34
2023,Legal immigrant,Employer-sponsored,1599,3507399.99
2023,Legal immigrant,Medicaid,1962,4493662
2023,Legal immigrant,Medicare,460,957053.16
2023,Legal immigrant,Other public,42,66552.88
2023,Legal immigrant,Uninsured,871,2012046.06
2023,Native-born,Direct purchase,10717,25222345.24
2023,Native-born,Employer-sponsored,67880,151657087.72
2023,Native-born,Medicaid,21994,47719446.85
2023,Native-born,Medicare,11816,27874401.81
2023,Native-born,Other public,3155,6122761.19
2023,Native-born,Uninsured,9414,23257985.29
2023,Naturalized citizen,Direct purchase,1048,2582055.91
2023,Naturalized citizen,Employer-sponsored,5200,11979402.24
2023,Naturalized citizen,Medicaid,1612,3672001.2
2023,Naturalized citizen,Medicare,1570,3592108.44
2023,Naturalized citizen,Other public,153,323393.24
2023,Naturalized citizen,Uninsured,728,1785667.75
2023,Undocumented,Direct purchase,567,1474812.67829611
2023,Undocumented,Employer-sponsored,2391,5886156.96109812
2023,Undocumented,Medicaid,180,433442.53179682174
2023,Undocumented,Other public,14,47380.493350737546
2023,Undocumented,Uninsured,2411,5965329.360179491
2024,Legal immigrant,Direct purchase,445,1072246.46
2024,Legal immigrant,Employer-sponsored,1465,3311499.61
2024,Legal immigrant,Medicaid,1723,4188592.29
2024,Legal immigrant,Medicare,534,1140278.33
2024,Legal immigrant,Other public,39,59932.33
2024,Legal immigrant,Uninsured,889,2091531.15
2024,Native-born,Direct purchase,10901,25753422
2024,Native-born,Employer-sponsored,65880,149828757.77
2024,Native-born,Medicaid,20917,47497855.21
2024,Native-born,Medicare,11957,28595185.76
2024,Native-born,Other public,3322,6329096.25
2024,Native-born,Uninsured,9437,23101425.79
2024,Naturalized citizen,Direct purchase,1042,2573033.71
2024,Naturalized citizen,Employer-sponsored,5325,12566359
