worker_group,status_predetermined,year,status,n,workers,share
LPNs/LVNs,TRUE,2022,Native-born,6271,636281,0.8515116355319664
LPNs/LVNs,TRUE,2022,Foreign-born,902,110956,0.14848836446803357
LPNs/LVNs,TRUE,2023,Native-born,5942,566331,0.8475369944687882
LPNs/LVNs,TRUE,2023,Foreign-born,884,101877,0.15246300553121184
LPNs/LVNs,TRUE,2024,Native-born,6074,610982,0.8468641539979819
LPNs/LVNs,TRUE,2024,Foreign-born,911,110482,0.15313584600201813
Nursing/psych/home health aides,FALSE,2014,Native-born,18997,2055896,0.7811603000330865
Nursing/psych/home health aides,FALSE,2014,Foreign-born,4667,575953.0582700137,0.2188396999669135
Nursing/psych/home health aides,FALSE,2015,Native-born,18264,2012859,0.7748072841274972
Nursing/psych/home health aides,FALSE,2015,Foreign-born,4622,585024.4237040769,0.22519271587250275
Nursing/psych/home health aides,FALSE,2016,Native-born,17893,1978232,0.7748646004571533
Nursing/psych/home health aides,FALSE,2016,Foreign-born,4570,574771.4522584795,0.22513539954284661
Nursing/psych/home health aides,FALSE,2017,Native-born,17435,1921675,0.7655332478697248
Nursing/psych/home health aides,FALSE,2017,Foreign-born,4506,588568.6835336809,0.23446675213027535
Nursing/psych/home health aides,FALSE,2018,Native-born,16893,1865286,0.7544448565721978
Nursing/psych/home health aides,FALSE,2018,Foreign-born,4625,607109.4093542134,0.2455551434278021
Nursing/psych/home health aides,FALSE,2019,Native-born,16976,1910792,0.74949655570579
Nursing/psych/home health aides,FALSE,2019,Foreign-born,4726,638641.9973325626,0.25050344429420995
Nursing/psych/home health aides,FALSE,2020,Native-born,13933,1873809,0.7511316149441065
Nursing/psych/home health aides,FALSE,2020,Foreign-born,3923,620839.0253523006,0.24886838505589345
Nursing/psych/home health aides,FALSE,2021,Native-born,16556,1864987,0.7452635572723131
Nursing/psych/home health aides,FALSE,2021,Foreign-born,5013,637465.9668751121,0.2547364427276869
Nursing/psych/home health aides,FALSE,2022,Native-born,16446,1808941,0.7402189474079174
Nursing/psych/home health aides,FALSE,2022,Foreign-born,5028,634850.8082676894,0.2597810525920827
Nursing/psych/home health aides,FALSE,2023,Native-born,15844,1718633,0.7261385259351216
Nursing/psych/home health aides,FALSE,2023,Foreign-born,5070,648178.481028008,0.27386147406487826
Nursing/psych/home health aides,FALSE,2024,Native-born,17080,1874886,0.7343159763692839
Nursing/psych/home health aides,FALSE,2024,Foreign-born,5229,678355.4659832063,0.265684023630716
Nursing home employees (all occupations),FALSE,2014,Native-born,20021,1977770,0.8393394277020974
Nursing home employees (all occupations),FALSE,2014,Foreign-born,3235,378571.1115031766,0.16066057229790276
Nursing home employees (all occupations),FALSE,2015,Native-born,19594,1963800,0.8313140803153698
Nursing home employees (all occupations),FALSE,2015,Foreign-born,3284,398484.05905864947,0.16868591968463015
Nursing home employees (all occupations),FALSE,2016,Native-born,18777,1881195,0.8367008578094051
Nursing home employees (all occupations),FALSE,2016,Foreign-born,3063,367153.3582474394,0.16329914219059496
Nursing home employees (all occupations),FALSE,2017,Native-born,18230,1825571,0.8282388389246299
Nursing home employees (all occupations),FALSE,2017,Foreign-born,3044,378589.0975514358,0.17176116107537018
Nursing home employees (all occupations),FALSE,2018,Native-born,18263,1830855,0.8331413911292019
Nursing home employees (all occupations),FALSE,2018,Foreign-born,2957,366677.1589994976,0.16685860887079806
Nursing home employees (all occupations),FALSE,2019,Native-born,17292,1730577,0.8272173578785703
Nursing home employees (all occupations),FALSE,2019,Foreign-born,2866,361469.2844712652,0.17278264212142963
Nursing home employees (all occupations),FALSE,2020,Native-born,14195,1703332,0.8333205342687576
Nursing home employees (all occupations),FALSE,2020,Foreign-born,2268,340697.7940031938,0.1666794657312424
Nursing home employees (all occupations),FALSE,2021,Native-born,15745,1588255,0.8278174209896376
Nursing home employees (all occupations),FALSE,2021,Foreign-born,2774,330350.43125714373,0.1721825790103625
Nursing home employees (all occupations),FALSE,2022,Native-born,15384,1485668,0.825023368943081
Nursing home employees (all occupations),FALSE,2022,Foreign-born,2634,315090.6886941833,0.17497663105691896
Nursing home employees (all occupations),FALSE,2023,Native-born,15220,1479761,0.8266875763392585
Nursing home employees (all occupations),FALSE,2023,Foreign-born,2591,310227.1918543934,0.1733124236607416
Nursing home employees (all occupations),FALSE,2024,Native-born,15446,1523113,0.8215007006288558
Nursing home employees (all occupations),FALSE,2024,Foreign-born,2742,330948.717578649,0.17849929937114414
"Residential care, no nursing (all occupations)",FALSE,2014,Native-born,11124,1142504,0.8627267207649071
"Residential care, no nursing (all occupations)",FALSE,2014,Foreign-born,1576,181790.2087003378,0.13727327923509283
"Residential care, no nursing (all occupations)",FALSE,2015,Native-born,10436,1076840,0.8504268388339925
"Residential care, no nursing (all occupations)",FALSE,2015,Foreign-born,1610,189394.73158071918,0.14957316116600752
"Residential care, no nursing (all occupations)",FALSE,2016,Native-born,10775,1123788,0.8496738259501718
"Residential care, no nursing (all occupations)",FALSE,2016,Foreign-born,1705,198823.06047758073,0.15032617404982826
"Residential care, no nursing (all occupations)",FALSE,2017,Native-born,10869,1119926,0.8524240587773219
"Residential care, no nursing (all occupations)",FALSE,2017,Foreign-born,1598,193887.22297070143,0.14757594122267803
"Residential care, no nursing (all occupations)",FALSE,2018,Native-born,10784,1136973,0.8490651689328356
"Residential care, no nursing (all occupations)",FALSE,2018,Foreign-born,1607,202115.02480853975,0.15093483106716435
"Residential care, no nursing (all occupations)",FALSE,2019,Native-born,11017,1168639,0.841013000044516
"Residential care, no nursing (all occupations)",FALSE,2019,Foreign-born,1731,220922.16009876446,0.1589869999554839
"Residential care, no nursing (all occupations)",FALSE,2020,Native-born,9031,1084915,0.8266856524959016
"Residential care, no nursing (all occupations)",FALSE,2020,Foreign-born,1506,227452.03664138948,0.17331434750409827
"Residential care, no nursing (all occupations)",FALSE,2021,Native-born,10335,1072984,0.8278428082977694
"Residential care, no nursing (all occupations)",FALSE,2021,Foreign-born,1865,223136.45818975702,0.17215719170223065
"Residential care, no nursing (all occupations)",FALSE,2022,Native-born,10081,1038514,0.8328436933735877
"Residential care, no nursing (all occupations)",FALSE,2022,Foreign-born,1825,208435.46754451207,0.16715630662641234
"Residential care, no nursing (all occupations)",FALSE,2023,Native-born,9600,972456,0.8247777728819565
"Residential care, no nursing (all occupations)",FALSE,2023,Foreign-born,1697,206596.14225405606,0.1752222271180436
"Residential care, no nursing (all occupations)",FALSE,2024,Native-born,9851,1014135,0.829696711976331
"Residential care, no nursing (all occupations)",FALSE,2024,Foreign-born,1717,208161.0334317083,0.17030328802366893
