year,immig_status,coverage_type,n,population
2015,Legal immigrant,Employer-sponsored,22387,2522329
2015,Legal immigrant,Medicaid,21225,2767019
2015,Legal immigrant,Medicare,862,112014
2015,Legal immigrant,Other public,602,66989
2015,Legal immigrant,Uninsured,11642,1558494
2015,Native-born,Direct purchase,168443,16145010
2015,Native-born,Employer-sponsored,1029311,103660966
2015,Native-born,Medicaid,202975,21538572
2015,Native-born,Medicare,24386,2433789
2015,Native-born,Other public,35884,3647431
2015,Native-born,Uninsured,164174,18389344
2015,Naturalized citizen,Direct purchase,17069,1850903
2015,Naturalized citizen,Employer-sponsored,85139,9313646
2015,Naturalized citizen,Medicaid,18552,2165287
2015,Naturalized citizen,Medicare,1452,165160
2015,Naturalized citizen,Other public,1999,212534
2015,Naturalized citizen,Uninsured,12777,1663743
2015,Undocumented,Direct purchase,10761,1352402.8964550688
2015,Undocumented,Employer-sponsored,34970,4738109.281535283
2015,Undocumented,Medicaid,27,3467.53415642363
2015,Undocumented,Other public,187,22564.917921214208
2015,Undocumented,Uninsured,36924,5912329.824861854
2016,Legal immigrant,Direct purchase,5651,640715
2016,Legal immigrant,Employer-sponsored,22672,2579078
2016,Legal immigrant,Medicaid,21596,2884007
2016,Legal immigrant,Medicare,888,122420
2016,Legal immigrant,Other public,563,59578
2016,Legal immigrant,Uninsured,10786,1446130
2016,Native-born,Direct purchase,168103,16183282
2016,Native-born,Employer-sponsored,1034796,104549900
2016,Native-born,Medicaid,207353,22293136
2016,Native-born,Medicare,24241,2416761
2016,Native-born,Other public,34796,3569672
2016,Native-born,Uninsured,150413,16804051
2016,Naturalized citizen,Direct purchase,17616,1909107
2016,Naturalized citizen,Employer-sponsored,87260,9540471
2016,Naturalized citizen,Medicaid,19133,2279920
2016,Naturalized citizen,Medicare,1426,161402
2016,Naturalized citizen,Other public,1963,211870
2016,Naturalized citizen,Uninsured,12216,1568165
2016,Undocumented,Direct purchase,11141,1410539.1876126502
2016,Undocumented,Employer-sponsored,35987,4888234.9300251715
2016,Undocumented,Medicaid,177,21498.33088737676
2016,Undocumented,Other public,205,25665.178497266847
2016,Undocumented,Uninsured,33950,5475424.918373249
2017,Legal immigrant,Direct purchase,5594,636009
2017,Legal immigrant,Employer-sponsored,23080,2604560
2017,Legal immigrant,Medicaid,21322,2826858
2017,Legal immigrant,Medicare,827,109785
2017,Legal immigrant,Other public,629,66136
2017,Legal immigrant,Uninsured,10753,1460773
2017,Native-born,Direct purchase,156738,14994807
2017,Native-born,Employer-sponsored,1049207,105683454
2017,Native-born,Medicaid,210301,22375930
2017,Native-born,Medicare,24196,2450588
2017,Native-born,Other public,34863,3597752
2017,Native-born,Uninsured,156626,17342217
2017,Naturalized citizen,Direct purchase,17474,1887114
2017,Naturalized citizen,Employer-sponsored,90645,9925942
2017,Naturalized citizen,Medicaid,19435,2298049
2017,Naturalized citizen,Medicare,1429,167173
2017,Naturalized citizen,Other public,1977,204182
2017,Naturalized citizen,Uninsured,12957,1652755
2017,Undocumented,Direct purchase,10833,1371307.9981447756
2017,Undocumented,Employer-sponsored,38379,5073261.261036132
2017,Undocumented,Medicaid,215,27373.747277736697
2017,Undocumented,Other public,182,20343.395558269985
2017,Undocumented,Uninsured,32736,5271156.457189049
2018,Legal immigrant,Direct purchase,5425,629989
2018,Legal immigrant,Employer-sponsored,22943,2664887
2018,Legal immigrant,Medicaid,19830,2702938
2018,Legal immigrant,Medicare,734,95094
2018,Legal immigrant,Other public,615,61590
2018,Legal immigrant,Uninsured,10427,1424789
2018,Native-born,Direct purchase,150347,14322103
2018,Native-born,Employer-sponsored,1058593,106295058
2018,Native-born,Medicaid,209074,22175586
2018,Native-born,Medicare,23358,2334286
2018,Native-born,Other public,34745,3536269
2018,Native-born,Uninsured,161521,17815221
2018,Naturalized citizen,Direct purchase,17554,1886733
2018,Naturalized citizen,Employer-sponsored,92932,10209967
2018,Naturalized citizen,Medicaid,19205,2300613
2018,Naturalized citizen,Medicare,1426,170380
2018,Naturalized citizen,Other public,2074,213747
2018,Naturalized citizen,Uninsured,13461,1767397
2018,Undocumented,Direct purchase,10253,1272942.562801426
2018,Undocumented,Employer-sponsored,38015,5148800.995439181
2018,Undocumented,Medicaid,190,27013.06222848726
2018,Undocumented,Other public,158,17008.268837194944
2018,Undocumented,Uninsured,31121,5095489.913758029
2019,Legal immigrant,Direct purchase,4929,570202
2019,Legal immigrant,Employer-sponsored,22403,2630960
2019,Legal immigrant,Medicaid,17442,2417028
2019,Legal immigrant,Medicare,705,91821
2019,Legal immigrant,Other public,594,60000
2019,Legal immigrant,Uninsured,9844,1412984
2019,Native-born,Direct purchase,144962,13636447
2019,Native-born,Employer-sponsored,1066179,106717071
2019,Native-born,Medicaid,203781,21805495
2019,Native-born,Medicare,24045,2369610
2019,Native-born,Other public,34647,3503451
2019,Native-born,Uninsured,166132,18435162
2019,Naturalized citizen,Direct purchase,17018,1833951
2019,Naturalized citizen,Employer-sponsored,95109,10431283
2019,Naturalized citizen,Medicaid,18236,2208372
2019,Naturalized citizen,Medicare,1505,184378
2019,Naturalized citizen,Other public,1967,213491
2019,Naturalized citizen,Uninsured,14202,1851133
2019,Undocumented,Direct purchase,9783,1247483.5228165137
2019,Undocumented,Employer-sponsored,38018,5097588.534050123
2019,Undocumented,Medicaid,140,18531.51213302535
2019,Undocumented,Other public,193,20295.789686385287
2019,Undocumented,Uninsured,29989,5176103.161575504
2020,Legal immigrant,Direct purchase,4125,655920
2020,Legal immigrant,Employer-sponsored,17800,2641796
2020,Legal immigrant,Medicaid,14574,2207207
2020,Legal immigrant,Medicare,562,88663
2020,Legal immigrant,Other public,448,62837
2020,Legal immigrant,Uninsured,7833,1370260
2020,Native-born,Direct purchase,118160,14466607
2020,Native-born,Employer-sponsored,857921,107019385
2020,Native-born,Medicaid,179658,21954386
2020,Native-born,Medicare,18988,2302266
2020,Native-born,Other public,28513,3478119
2020,Native-born,Uninsured,140679,18357708
2020,Naturalized citizen,Direct purchase,13458,1946231
2020,Naturalized citizen,Employer-sponsored,75033,10227275
2020,Naturalized citizen,Medicaid,16006,2349210
2020,Naturalized citizen,Medicare,1164,167139
2020,Naturalized citizen,Other public,1534,208298
2020,Naturalized citizen,Uninsured,11238,1866462
2020,Undocumented,Direct purchase,8210,1238730.819972988
2020,Undocumented,Employer-sponsored,30187,4846477.15082725
2020,Undocumented,Medicaid,469,71326.69049618092
2020,Undocumented,Other public,216,28527.14384328224
2020,Undocumented,Uninsured,23298,4253129.9638898885
2021,Legal immigrant,Direct purchase,5594,642450
2021,Legal immigrant,Employer-sponsored,22837,2640578
2021,Legal immigrant,Medicaid,20030,2498419
2021,Legal immigrant,Medicare,740,91229
2021,Legal immigrant,Other public,549,61127
2021,Legal immigrant,Uninsured,10174,1366549
2021,Native-born,Direct purchase,147427,14583304
2021,Native-born,Employer-sponsored,1025339,106463004
2021,Native-born,Medicaid,224720,23668769
2021,Native-born,Medicare,22574,2214990
2021,Native-born,Other public,33290,3436000
2021,Native-born,Uninsured,160523,17368180
2021,Naturalized citizen,Direct purchase,18497,2011590
2021,Naturalized citizen,Employer-sponsored,97173,10584676
2021,Naturalized citizen,Medicaid,22037,2560050
2021,Naturalized citizen,Medicare,1511,162619
2021,Naturalized citizen,Other public,2006,206193
2021,Naturalized citizen,Uninsured,14254,1797927
2021,Undocumented,Direct purchase,9839,1184279.12992839
2021,Undocumented,Employer-sponsored,37641,4718029.370077304
2021,Undocumented,Medicaid,643,73099.05562126008
2021,Undocumented,Other public,219,20536.152664173296
2021,Undocumented,Uninsured,32370,4836931.334671799
2022,Legal immigrant,Direct purchase,5702,645426
2022,Legal immigrant,Employer-sponsored,22259,2524494
2022,Legal immigrant,Medicaid,18505,2359301
2022,Legal immigrant,Medicare,842,99039
2022,Legal immigrant,Other public,558,60996
2022,Legal immigrant,Uninsured,9465,1260631
2022,Native-born,Direct purchase,154832,14816109
2022,Native-born,Employer-sponsored,1067655,107941617
2022,Native-born,Medicaid,235844,23947780
2022,Native-born,Medicare,21780,2042670
2022,Native-born,Other public,34571,3345214
2022,Native-born,Uninsured,153282,15806713
2022,Naturalized citizen,Direct purchase,19591,2063210
2022,Naturalized citizen,Employer-sponsored,101346,10757304
2022,Naturalized citizen,Medicaid,22315,2617003
2022,Naturalized citizen,Medicare,1517,165885
2022,Naturalized citizen,Other public,2058,204428
2022,Naturalized citizen,Uninsured,13600,1668036
2022,Undocumented,Direct purchase,11719,1371623.0411482682
2022,Undocumented,Employer-sponsored,40193,4972938.37897226
2022,Undocumented,Medicaid,2793,334181.624514437
2022,Undocumented,Other public,276,27661.475399096104
2022,Undocumented,Uninsured,32245,4875067.961406994
2023,Legal immigrant,Direct purchase,5735,672153
2023,Legal immigrant,Employer-sponsored,22055,2533111
2023,Legal immigrant,Medicaid,19722,2535789
2023,Legal immigrant,Medicare,763,89611
2023,Legal immigrant,Other public,540,53950
2023,Legal immigrant,Uninsured,9105,1207997
2023,Native-born,Direct purchase,153965,14612708
2023,Native-born,Employer-sponsored,1071355,107549812
2023,Native-born,Medicaid,238367,24062485
2023,Native-born,Medicare,20675,1929514
2023,Native-born,Other public,34552,3348737
2023,Native-born,Uninsured,147032,15145008
2023,Naturalized citizen,Direct purchase,19441,2073707
2023,Naturalized citizen,Employer-sponsored,103599,10931642
2023,Naturalized citizen,Medicaid,22630,2692930
2023,Naturalized citizen,Medicare,1404,157931
2023,Naturalized citizen,Other public,2198,221315
2023,Naturalized citizen,Uninsured,12894,1589023
2023,Undocumented,Direct purchase,11986,1449900.7964619112
2023,Undocumented,Employer-sponsored,42226,5282081.017062056
2023,Undocumented,Medicaid,3168,377177.173918808
2023,Undocumented,Other public,262,23590.912565594484
2023,Undocumented,Uninsured,33623,5194604.328514082
2024,Legal immigrant,Direct purchase,5797,712061
2024,Legal immigrant,Employer-sponsored,21802,2557895
2024,Legal immigrant,Medicaid,20851,2812691
2024,Legal immigrant,Medicare,789,100820
2024,Legal immigrant,Other public,574,64994
2024,Legal immigrant,Uninsured,8630,1190287
2024,Native-born,Direct purchase,159528,15389830
2024,Native-born,Employer-sponsored,1071822,108506332
2024,Native-born,Medicaid,227637,23022869
2024,Native-born,Medicare,20585,1890334
2024,Native-born,Other public,34462,3358443
2024,Native-born,Uninsured,150799,15829839
2024,Naturalized citizen,Direct purchase,19722,2167570
2024,Naturalized citizen,Employer-sponsored,103860,11329357
2024,Naturalized citizen,Medicaid,21429,2571086
2024,Naturalized citizen,Medicare,1353,148404
2024,Naturalized citizen,Other public,2285,240986
2024,Naturalized citizen,Uninsured,13000,1673616
2024,Undocumented,Direct purchase,12883,1746865.883809637
2024,Undocumented,Employer-sponsored,42639,5659481.1285746265
2024,Undocumented,Medicaid,3419,416322.8136880848
2024,Undocumented,Other public,220,20136.982855019265
2024,Undocumented,Uninsured,32877,5403263.686665466
