year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2013,6,8845,986012,8845,986012,0,0
2013,8,323,44109,323,44109,0,0
2013,9,208,29927,208,30255.641196363675,328.6411963636747,1.0981428020305233
2013,10,32,4888,32,4888,0,0
2013,11,112,17229,112,17229,0,0
2013,12,1664,197170,1664,197170,0,0
2013,13,231,29317,231,29317,0,0
2013,15,172,19552,172,19552,0,0
2013,16,34,6284,34,6284,0,0
2013,17,794,106587,794,108262.88432358469,1675.884323584687,1.572315876781115
2013,18,138,20427,138,20427,0,0
2013,19,63,12362,63,12362,0,0
2013,20,36,4000,36,4000,0,0
2013,21,85,13824,85,13824,0,0
2013,22,40,5322,40,5322,0,0
2013,23,42,5673,42,5673,0,0
2013,24,342,45700,342,45700,0,0
2013,25,1213,165523,1213,165523,0,0
2013,26,322,52722,322,52722,0,0
2013,27,190,29848,190,29848,0,0
2013,28,9,625,9,625,0,0
2013,29,60,8529,60,8529,0,0
2013,30,7,795,7,795,0,0
2013,31,33,6676,33,6676,0,0
2013,32,116,12795,116,12795,0,0
2013,33,18,2768,18,2768,0,0
2013,34,671,81858,671,81858,0,0
2013,35,142,18115,142,18115,0,0
2013,36,4240,563550,4240,563550,0,0
2013,37,217,27607,217,27607,0,0
2013,38,5,1225,5,1225,0,0
2013,39,171,25027,171,25027,0,0
2013,40,41,6831,41,6831,0,0
2013,41,228,34775,228,34775,0,0
2013,42,319,46083,319,46083,0,0
2013,44,92,11795,92,11795,0,0
2013,45,77,7728,77,7728,0,0
2013,46,9,1457,9,1457,0,0
2013,47,117,13682,117,13682,0,0
2013,48,2259,268634,2259,268634,0,0
2013,49,38,5638,38,5638,0,0
2013,50,18,2760,18,2760,0,0
2013,51,193,25790,193,25790,0,0
2013,53,468,60915,468,62181.53996220757,1266.539962207571,2.079192255122008
2013,54,8,1266,8,1266,0,0
2013,55,123,20529,123,20529,0,0
2013,56,6,851,6,851,0,0
2014,1,34,3067,34,3067,0,0
2014,2,16,4085,16,4085,0,0
2014,4,802,106111,802,106111,0,0
2014,5,34,5983,34,5983,0,0
2014,6,10989,1262788,10989,1262788,0,0
2014,8,329,40322,329,40322,0,0
2014,9,272,32703,272,32946.1422148442,243.14221484419977,0.7434859641139949
2014,10,36,4003,36,4003,0,0
2014,11,97,15307,97,15307,0,0
2014,12,1852,235757,1852,235757,0,0
2014,13,223,31226,223,31226,0,0
2014,15,149,18307,149,18307,0,0
2014,16,43,6009,43,6009,0,0
2014,17,791,107910,791,109656.0215899928,1746.0215899928007,1.6180350199173392
2014,18,134,24355,134,24355,0,0
2014,19,81,14592,81,14592,0,0
2014,20,52,7334,52,7334,0,0
2014,21,106,14204,106,14204,0,0
2014,22,58,8107,58,8107,0,0
2014,23,73,10146,73,10146,0,0
2014,24,435,54026,435,54026,0,0
2014,25,1449,185983,1449,185983,0,0
2014,26,330,54203,330,54203,0,0
2014,27,193,44335,193,44335,0,0
2014,28,11,704,11,704,0,0
2014,29,47,5382,47,5382,0,0
2014,30,5,295,5,295,0,0
2014,31,69,10956,69,10956,0,0
2014,32,172,18660,172,18660,0,0
2014,33,21,2180,21,2180,0,0
2014,34,798,93414,798,93414,0,0
2014,35,159,23348,159,23348,0,0
2014,36,4571,597060,4571,599990.9002052192,2930.9002052191645,0.49088872227567826
2014,37,220,25306,220,25306,0,0
2014,38,14,5557,14,5557,0,0
2014,39,202,27948,202,27948,0,0
2014,40,80,11297,80,11297,0,0
2014,41,329,48316,329,48316,0,0
2014,42,323,49500,323,49500,0,0
2014,44,118,15290,118,15290,0,0
2014,45,38,3725,38,3725,0,0
2014,46,18,2961,18,2961,0,0
2014,47,112,17872,112,17872,0,0
2014,48,2331,286897,2331,286897,0,0
2014,49,52,8506,52,8506,0,0
2014,50,16,3236,16,3236,0,0
2014,51,236,30652,236,30652,0,0
2014,53,605,77571,605,78522.51943515445,951.5194351544487,1.226643249609324
2014,54,25,3422,25,3422,0,0
2014,55,137,19277,137,19277,0,0
2014,56,4,1091,4,1091,0,0
2015,1,36,4082,36,4082,0,0
2015,2,17,5068,17,5068,0,0
2015,4,878,117103,878,117103,0,0
2015,5,45,5797,45,5797,0,0
2015,6,13015,1550084,13015,1550084,0,0
2015,8,362,48632,362,48632,0,0
2015,9,337,42761,337,42895.171274749824,134.17127474982408,0.31377019889577906
2015,10,57,6855,57,6855,0,0
2015,11,57,7125,57,7125,0,0
2015,12,1866,236264,1866,236264,0,0
2015,13,198,24875,198,24875,0,0
2015,15,142,19245,142,19245,0,0
2015,16,41,4249,41,4249,0,0
2015,17,956,138298,956,139877.92693837773,1579.9269383777282,1.1424076547583684
2015,18,164,21618,164,21618,0,0
2015,19,74,11800,74,11800,0,0
2015,20,55,7169,55,7169,0,0
2015,21,118,17778,118,17778,0,0
2015,22,75,8353,75,8353,0,0
2015,23,33,3500,33,3500,0,0
2015,24,470,58199,470,58199,0,0
2015,25,1414,188894,1414,188894,0,0
2015,26,361,49833,361,49833,0,0
2015,27,287,62362,287,62362,0,0
2015,28,12,1215,12,1215,0,0
2015,29,84,10456,84,10456,0,0
2015,30,6,357,6,357,0,0
2015,31,59,8712,59,8712,0,0
2015,32,197,22841,197,22841,0,0
2015,33,35,4634,35,4634,0,0
2015,34,939,115360,939,115360,0,0
2015,35,163,23758,163,23758,0,0
2015,36,4930,658987,4930,662117.8774078579,3130.8774078579154,0.47510457836921144
2015,37,247,30467,247,30467,0,0
2015,38,4,705,4,705,0,0
2015,39,247,36840,247,36840,0,0
2015,40,77,8708,77,8708,0,0
2015,41,284,42056,284,42056,0,0
2015,42,377,60563,377,60563,0,0
2015,44,134,17879,134,17879,0,0
2015,45,67,7981,67,7981,0,0
2015,46,4,1287,4,1287,0,0
2015,47,106,14427,106,14427,0,0
2015,48,2423,309177,2423,309177,0,0
2015,49,46,6344,46,6344,0,0
2015,50,12,2625,12,2625,0,0
2015,51,248,31065,248,31065,0,0
2015,53,740,91697,740,92864.13127814163,1167.1312781416345,1.2728129362374283
2015,54,15,1813,15,1813,0,0
2015,55,122,20819,122,20819,0,0
2015,56,6,515,6,515,0,0
2016,1,46,4437,46,4437,0,0
2016,2,11,2974,11,2974,0,0
2016,4,1079,139699,1079,139699,0,0
2016,5,54,5433,54,5433,0,0
2016,6,13685,1644755,13685,1651566.3350230658,6811.335023065796,0.4141245974668444
2016,8,323,46797,323,46797,0,0
2016,9,344,43681,344,44032.65450701504,351.6545070150387,0.8050514114032159
2016,10,37,4224,37,4224,0,0
2016,11,69,9662,69,9662,0,0
2016,12,1970,267108,1970,267108,0,0
2016,13,261,30411,261,30411,0,0
2016,15,182,22888,182,22888,0,0
2016,16,34,4128,34,4128,0,0
2016,17,895,127739,895,129458.02023714068,1719.0202371406776,1.3457285849589222
2016,18,231,32346,231,32346,0,0
2016,19,79,13072,79,13072,0,0
2016,20,61,9117,61,9117,0,0
2016,21,132,17801,132,17801,0,0
2016,22,87,9924,87,9924,0,0
2016,23,31,6901,31,6901,0,0
2016,24,456,60649,456,60649,0,0
2016,25,1420,205628,1420,205628,0,0
2016,26,455,74529,455,74529,0,0
2016,27,256,48995,256,48995,0,0
2016,28,17,1375,17,1375,0,0
2016,29,71,9097,71,9097,0,0
2016,30,4,782,4,782,0,0
2016,31,69,11319,69,11319,0,0
2016,32,245,30795,245,30795,0,0
2016,33,29,5282,29,5282,0,0
2016,34,975,131532,975,131532,0,0
2016,35,153,22157,153,22157,0,0
2016,36,5027,687948,5027,690929.4947381037,2981.4947381037055,0.43338954951590897
2016,37,263,31568,263,31568,0,0
2016,38,6,689,6,689,0,0
2016,39,245,33197,245,33197,0,0
2016,40,67,8163,67,8163,0,0
2016,41,298,48237,298,48237,0,0
2016,42,431,74722,431,74722,0,0
2016,44,128,17407,128,17407,0,0
2016,45,77,10969,77,10969,0,0
2016,46,16,2054,16,2054,0,0
2016,47,107,13082,107,13082,0,0
2016,48,2365,290145,2365,290145,0,0
2016,49,63,8628,63,8628,0,0
2016,50,20,3258,20,3258,0,0
2016,51,241,25502,241,25502,0,0
2016,53,779,113420,779,114985.8461164919,1565.846116491899,1.3805731938740071
2016,54,9,1115,9,1115,0,0
2016,55,142,29424,142,29424,0,0
2017,1,47,6405,47,6405,0,0
2017,2,30,7676,30,7676,0,0
2017,4,903,120554,903,120554,0,0
2017,5,33,2943,33,2943,0,0
2017,6,13226,1591022,13226,1597328.7807474374,6306.780747437384,0.39639808547194094
2017,8,377,46754,377,46754,0,0
2017,9,306,40165,306,40339.43192113038,174.43192113038094,0.43428836332722753
2017,10,46,6674,46,6674,0,0
2017,11,92,11737,92,11737,0,0
2017,12,1961,263589,1961,263589,0,0
